日期 (Date),平均价值 (Avg Value),最低价值 (Min Value)
03/03 星期二,767,582
03/04 星期三,767,582
03/05 星期四,752,580
03/06 星期五,736,532
03/07 星期六,736,537
03/08 星期日,756,567
03/09 星期一,755,577
03/10 星期二,725,564
03/11 星期三,726,568
03/12 星期四,736,575
03/13 星期五,735,559
03/14 星期六,757,547
03/15 星期日,772,576
03/16 星期一,770,579
03/17 星期二,737,572
03/18 星期三,747,577
03/19 星期四,754,582
03/20 星期五,762,571
03/21 星期六,774,578
03/22 星期日,768,580
03/23 星期一,769,582
03/24 星期二,751,583
03/25 星期三,756,585
03/26 星期四,756,585
03/27 星期五,757,580
03/28 星期六,767,577
03/29 星期日,770,587
03/30 星期一,741,578
03/31 星期二,747,581
04/01 星期三,758,586
04/02 星期四,760,588
