year,major_category,count,percentage,year_total
2020,Daily Life & School,123,4.85%,2537
2021,Daily Life & School,132,4.55%,2902
2022,Daily Life & School,132,3.44%,3840
2023,Daily Life & School,170,3.90%,4364
2024,Daily Life & School,153,3.94%,3885
2025,Daily Life & School,165,3.74%,4417
2026,Daily Life & School,44,3.71%,1185
2020,Miscellaneous,902,35.55%,2537
2021,Miscellaneous,1062,36.60%,2902
2022,Miscellaneous,1766,45.99%,3840
2023,Miscellaneous,1892,43.35%,4364
2024,Miscellaneous,1443,37.14%,3885
2025,Miscellaneous,1835,41.54%,4417
2026,Miscellaneous,506,42.70%,1185
2020,Protagonist Focus,624,24.60%,2537
2021,Protagonist Focus,711,24.50%,2902
2022,Protagonist Focus,833,21.69%,3840
2023,Protagonist Focus,1099,25.18%,4364
2024,Protagonist Focus,1146,29.50%,3885
2025,Protagonist Focus,1031,23.34%,4417
2026,Protagonist Focus,346,29.20%,1185
2020,Action & Combat,29,1.14%,2537
2021,Action & Combat,34,1.17%,2902
2022,Action & Combat,33,0.86%,3840
2023,Action & Combat,24,0.55%,4364
2024,Action & Combat,31,0.80%,3885
2025,Action & Combat,36,0.82%,4417
2026,Action & Combat,7,0.59%,1185
2020,Character Tropes,94,3.71%,2537
2021,Character Tropes,101,3.48%,2902
2022,Character Tropes,150,3.91%,3840
2023,Character Tropes,123,2.82%,4364
2024,Character Tropes,161,4.14%,3885
2025,Character Tropes,388,8.78%,4417
2026,Character Tropes,79,6.67%,1185
2020,Mystery & Horror,199,7.84%,2537
2021,Mystery & Horror,234,8.06%,2902
2022,Mystery & Horror,266,6.93%,3840
2023,Mystery & Horror,288,6.60%,4364
2024,Mystery & Horror,274,7.05%,3885
2025,Mystery & Horror,362,8.20%,4417
2026,Mystery & Horror,48,4.05%,1185
2020,Romance & Relationship,248,9.78%,2537
2021,Romance & Relationship,302,10.41%,2902
2022,Romance & Relationship,330,8.59%,3840
2023,Romance & Relationship,342,7.84%,4364
2024,Romance & Relationship,328,8.44%,3885
2025,Romance & Relationship,329,7.45%,4417
2026,Romance & Relationship,89,7.51%,1185
2020,Comedy & Humor,74,2.92%,2537
2022,Comedy & Humor,53,1.38%,3840
2025,Comedy & Humor,49,1.11%,4417
2026,Comedy & Humor,13,1.10%,1185
2020,Fantasy & Sci-Fi,228,8.99%,2537
2021,Fantasy & Sci-Fi,245,8.44%,2902
2022,Fantasy & Sci-Fi,264,6.88%,3840
2023,Fantasy & Sci-Fi,327,7.49%,4364
2024,Fantasy & Sci-Fi,268,6.90%,3885
2025,Fantasy & Sci-Fi,194,4.39%,4417
2026,Fantasy & Sci-Fi,47,3.97%,1185
2021,Comedy & Humor,61,2.10%,2902
2023,Comedy & Humor,78,1.79%,4364
2024,Comedy & Humor,58,1.49%,3885
2020,Mature Content,16,0.63%,2537
2021,Mature Content,20,0.69%,2902
2022,Mature Content,13,0.34%,3840
2023,Mature Content,21,0.48%,4364
2024,Mature Content,23,0.59%,3885
2025,Mature Content,28,0.63%,4417
2026,Mature Content,6,0.51%,1185
